Data,Turno,PEvento,FreqPEvento,DuracaoPEvento,SEvento,FreqSEvento,DuracaoSEvento,Somatoral,Dds,Maquina,Meta,Dds2,ID,IE,IQ,OEE
2025-01-10,1,Parada planejada,1,33480.0,,,,33480.0,6.0,Maquina Kappa,65.0,sexta-feira,,,,
2025-01-10,2,Parada planejada,1,32760.0,,,,32760.0,6.0,Maquina Kappa,65.0,sexta-feira,,,,
2025-01-10,3,TURNO NÃO PLANEJADO,1,31560.0,,,,31560.0,6.0,Maquina Kappa,65.0,sexta-feira,,,,
2025-01-10,1,Parada planejada,1,33480.0,,,,33480.0,6.0,Maquina Lambda,55.0,sexta-feira,,,,
2025-01-10,2,Parada planejada,1,32760.0,,,,32760.0,6.0,Maquina Lambda,55.0,sexta-feira,,,,
2025-01-10,3,Parada planejada,1,31560.0,,,,31560.0,6.0,Maquina Lambda,55.0,sexta-feira,,,,
2025-01-10,1,Parada planejada,1,33480.0,,,,33480.0,6.0,Maquina Sigma,60.0,sexta-feira,,,,
2025-01-10,2,Parada planejada,1,32760.0,,,,32760.0,6.0,Maquina Sigma,60.0,sexta-feira,,,,
2025-01-10,3,Parada planejada,1,31560.0,,,,31560.0,6.0,Maquina Sigma,60.0,sexta-feira,,,,
2025-01-10,1,Parada planejada,1,33480.0,,,,33480.0,6.0,Maquina Omega,65.0,sexta-feira,,,,
2025-01-10,2,Parada planejada,1,32760.0,,,,32760.0,6.0,Maquina Omega,65.0,sexta-feira,,,,
2025-01-10,3,Parada planejada,1,31560.0,,,,31560.0,6.0,Maquina Omega,65.0,sexta-feira,,,,
2025-01-11,1,Parada planejada,1,22080.0,,,,22080.0,7.0,Maquina Alpha,65.0,sabado,,,,
2025-01-11,2,Parada planejada,1,52920.0,,,,52920.0,7.0,Maquina Alpha,65.0,sabado,,,,
2025-01-11,1,ProblemasManutencao,2,15027.0,ProblemasProcesso,11,4490.0,30600.0,7.0,Maquina Beta,65.0,sabado,17.27,68.98,100.0,11.91
2025-01-11,2,FIM DE SEMANA,3,22520.0,OPERANDO,5,4633.0,30600.0,7.0,Maquina Beta,65.0,sabado,57.34,99.99,100.0,57.33
2025-01-11,3,OPERANDO,33,13238.0,FIM DE SEMANA,3,5151.0,25200.0,7.0,Maquina Beta,65.0,sabado,72.55,90.87,100.0,65.93
2025-01-11,1,Parada planejada,1,22080.0,,,,22080.0,7.0,Maquina Gamma,67.0,sabado,,,,
2025-01-11,2,Parada planejada,1,32760.0,,,,32760.0,7.0,Maquina Gamma,67.0,sabado,,,,
2025-01-11,3,Parada planejada,1,20160.0,,,,20160.0,7.0,Maquina Gamma,67.0,sabado,,,,
2025-01-11,1,FIM DE SEMANA,1,22080.0,,,,22080.0,7.0,Maquina Delta,65.0,sabado,,,,
2025-01-11,2,FIM DE SEMANA,3,29251.0,OPERANDO,4,2637.0,32760.0,7.0,Maquina Delta,65.0,sabado,76.46,86.71,100.0,66.3
2025-01-11,3,FIM DE SEMANA,2,17241.0,OPERANDO,1,2466.0,20160.0,7.0,Maquina Delta,65.0,sabado,84.52,110.88,100.0,93.72
2025-01-11,1,FIM DE SEMANA,1,22080.0,,,,22080.0,7.0,Maquina Epsilon,63.0,sabado,,,,
2025-01-11,2,FIM DE SEMANA,1,32760.0,,,,32760.0,7.0,Maquina Epsilon,63.0,sabado,,,,
2025-01-11,3,FIM DE SEMANA,1,20160.0,,,,20160.0,7.0,Maquina Epsilon,63.0,sabado,,,,
2025-01-11,1,FIM DE SEMANA,1,30600.0,,,,30600.0,7.0,Maquina Zeta,68.0,sabado,,,,
2025-01-11,2,FIM DE SEMANA,1,30600.0,,,,30600.0,7.0,Maquina Zeta,68.0,sabado,,,,
2025-01-11,3,FIM DE SEMANA,1,25200.0,,,,25200.0,7.0,Maquina Zeta,68.0,sabado,,,,
2025-01-11,1,Parada planejada,1,22080.0,,,,22080.0,7.0,Maquina Eta,68.0,sabado,,,,
2025-01-11,2,Parada planejada,2,31501.0,ProblemasProcesso,1,1002.0,32760.0,7.0,Maquina Eta,68.0,sabado,19.78,0.0,,
2025-01-11,3,OPERANDO,10,10414.0,Parada planejada,3,3503.0,20160.0,7.0,Maquina Eta,68.0,sabado,70.34,101.45,100.0,71.36
2025-01-11,1,Parada planejada,1,22080.0,,,,22080.0,7.0,Maquina Theta,69.0,sabado,,,,
2025-01-11,2,Parada planejada,1,32760.0,,,,32760.0,7.0,Maquina Theta,69.0,sabado,,,,
2025-01-11,3,Parada planejada,1,20160.0,,,,20160.0,7.0,Maquina Theta,69.0,sabado,,,,
2025-01-11,1,FIM DE SEMANA,1,22080.0,,,,22080.0,7.0,Maquina Iota,68.0,sabado,,,,
2025-01-11,2,FIM DE SEMANA,1,32760.0,,,,32760.0,7.0,Maquina Iota,68.0,sabado,,,,
2025-01-11,3,FIM DE SEMANA,1,20160.0,,,,20160.0,7.0,Maquina Iota,68.0,sabado,,,,
2025-01-11,1,FIM DE SEMANA,1,22080.0,,,,22080.0,7.0,Maquina Kappa,65.0,sabado,,,,
2025-01-11,2,FIM DE SEMANA,1,32760.0,,,,32760.0,7.0,Maquina Kappa,65.0,sabado,,,,
2025-01-11,3,FIM DE SEMANA,1,20160.0,,,,20160.0,7.0,Maquina Kappa,65.0,sabado,,,,
2025-01-11,1,Parada planejada,1,22080.0,,,,22080.0,7.0,Maquina Lambda,55.0,sabado,,,,
2025-01-11,2,Parada planejada,1,32760.0,,,,32760.0,7.0,Maquina Lambda,55.0,sabado,,,,
2025-01-11,3,Parada planejada,1,20160.0,,,,20160.0,7.0,Maquina Lambda,55.0,sabado,,,,
2025-01-11,1,Parada planejada,1,22080.0,,,,22080.0,7.0,Maquina Sigma,60.0,sabado,,,,
2025-01-11,2,Parada planejada,1,32760.0,,,,32760.0,7.0,Maquina Sigma,60.0,sabado,,,,
2025-01-11,3,Parada planejada,1,20160.0,,,,20160.0,7.0,Maquina Sigma,60.0,sabado,,,,
2025-01-11,1,Parada planejada,1,22080.0,,,,22080.0,7.0,Maquina Omega,65.0,sabado,,,,
2025-01-11,2,Parada planejada,1,32760.0,,,,32760.0,7.0,Maquina Omega,65.0,sabado,,,,
2025-01-11,3,Parada planejada,1,20160.0,,,,20160.0,7.0,Maquina Omega,65.0,sabado,,,,
2025-01-12,1,Parada planejada,1,33480.0,,,,33480.0,1.0,Maquina Alpha,65.0,domingo,,,,
2025-01-12,2,Parada planejada,1,22080.0,,,,22080.0,1.0,Maquina Alpha,65.0,domingo,,,,
2025-01-12,3,Parada planejada,2,30840.0,,,,30840.0,1.0,Maquina Alpha,65.0,domingo,,,,
2025-01-12,1,FIM DE SEMANA,1,30600.0,OPERANDO,0,0.0,30600.0,1.0,Maquina Beta,65.0,domingo,,,,
2025-01-12,2,OPERANDO,22,17511.0,FIM DE SEMANA,2,5843.0,30600.0,1.0,Maquina Beta,65.0,domingo,76.28,91.51,100.0,69.8
2025-01-12,3,OPERANDO,38,14811.0,ProblemasManutencao,1,3037.0,25200.0,1.0,Maquina Beta,65.0,domingo,65.03,93.98,100.0,61.12
2025-01-12,1,Parada planejada,1,33480.0,,,,33480.0,1.0,Maquina Gamma,67.0,domingo,,,,
2025-01-12,2,Parada planejada,1,22080.0,,,,22080.0,1.0,Maquina Gamma,67.0,domingo,,,,
2025-01-12,3,Parada planejada,1,30840.0,,,,30840.0,1.0,Maquina Gamma,67.0,domingo,,,,
2025-01-12,1,FIM DE SEMANA,1,33480.0,ProblemasProcesso,0,0.0,33480.0,1.0,Maquina Delta,65.0,domingo,,,,
2025-01-12,2,FIM DE SEMANA,1,22080.0,,,,22080.0,1.0,Maquina Delta,65.0,domingo,,,,
2025-01-12,3,OPERANDO,18,12810.0,ProblemasManutencao,2,3328.0,30840.0,1.0,Maquina Delta,65.0,domingo,44.01,99.29,100.0,43.7
2025-01-12,1,FIM DE SEMANA,1,33480.0,,,,33480.0,1.0,Maquina Epsilon,63.0,domingo,,,,
2025-01-12,2,FIM DE SEMANA,1,22080.0,,,,22080.0,1.0,Maquina Epsilon,63.0,domingo,,,,
2025-01-12,3,OPERANDO,18,16374.0,Oportunidadesdemelhoria,1,6444.0,30840.0,1.0,Maquina Epsilon,63.0,domingo,56.06,100.8,100.0,56.51
2025-01-12,1,FIM DE SEMANA,1,30600.0,,,,30600.0,1.0,Maquina Zeta,68.0,domingo,,,,
2025-01-12,2,FIM DE SEMANA,1,30600.0,,,,30600.0,1.0,Maquina Zeta,68.0,domingo,,,,
2025-01-12,3,OPERANDO,22,12010.0,FIM DE SEMANA,4,4613.0,25200.0,1.0,Maquina Zeta,68.0,domingo,63.62,84.6,100.0,53.82
2025-01-12,1,Parada planejada,3,13083.0,OPERANDO,14,8460.0,33480.0,1.0,Maquina Eta,68.0,domingo,45.49,87.47,100.0,39.79
2025-01-12,2,Parada planejada,1,22080.0,OPERANDO,0,0.0,22080.0,1.0,Maquina Eta,68.0,domingo,,,,
2025-01-12,3,Parada planejada,1,30840.0,,,,30840.0,1.0,Maquina Eta,68.0,domingo,,,,
2025-01-12,1,Parada planejada,1,33480.0,,,,33480.0,1.0,Maquina Theta,69.0,domingo,,,,
2025-01-12,2,Parada planejada,1,22080.0,,,,22080.0,1.0,Maquina Theta,69.0,domingo,,,,
2025-01-12,3,Parada planejada,1,30840.0,,,,30840.0,1.0,Maquina Theta,69.0,domingo,,,,
2025-01-12,1,FIM DE SEMANA,1,33480.0,,,,33480.0,1.0,Maquina Iota,68.0,domingo,,,,
2025-01-12,2,FIM DE SEMANA,1,22080.0,,,,22080.0,1.0,Maquina Iota,68.0,domingo,,,,
2025-01-12,3,FIM DE SEMANA,1,30840.0,,,,30840.0,1.0,Maquina Iota,68.0,domingo,,,,
2025-01-12,1,FIM DE SEMANA,1,33480.0,,,,33480.0,1.0,Maquina Kappa,65.0,domingo,,,,
2025-01-12,2,FIM DE SEMANA,1,22080.0,,,,22080.0,1.0,Maquina Kappa,65.0,domingo,,,,
2025-01-12,3,FIM DE SEMANA,1,30840.0,,,,30840.0,1.0,Maquina Kappa,65.0,domingo,,,,
2025-01-12,1,Parada planejada,1,33480.0,,,,33480.0,1.0,Maquina Lambda,55.0,domingo,,,,
2025-01-12,2,Parada planejada,1,22080.0,,,,22080.0,1.0,Maquina Lambda,55.0,domingo,,,,
2025-01-12,3,Parada planejada,1,30840.0,,,,30840.0,1.0,Maquina Lambda,55.0,domingo,,,,
2025-01-12,1,Parada planejada,1,33480.0,,,,33480.0,1.0,Maquina Sigma,60.0,domingo,,,,
2025-01-12,2,Parada planejada,1,22080.0,,,,22080.0,1.0,Maquina Sigma,60.0,domingo,,,,
2025-01-12,3,Parada planejada,1,30840.0,,,,30840.0,1.0,Maquina Sigma,60.0,domingo,,,,
2025-01-12,1,Parada planejada,1,33480.0,,,,33480.0,1.0,Maquina Omega,65.0,domingo,,,,
2025-01-12,2,Parada planejada,1,22080.0,,,,22080.0,1.0,Maquina Omega,65.0,domingo,,,,
2025-01-12,3,Parada planejada,1,30840.0,,,,30840.0,1.0,Maquina Omega,65.0,domingo,,,,
2025-01-13,1,Parada planejada,11,25264.0,OPERANDO,6,5342.0,33480.0,2.0,Maquina Alpha,65.0,segunda-feira,65.28,68.79,100.0,44.91
2025-01-13,2,OPERANDO,15,17422.0,Parada planejada,15,3902.0,32760.0,2.0,Maquina Alpha,65.0,segunda-feira,64.39,88.09,100.0,56.72
2025-01-13,3,Parada planejada,3,10825.0,OPERANDO,9,7743.0,20160.0,2.0,Maquina Alpha,65.0,segunda-feira,83.0,97.57,100.0,80.98
2025-01-13,1,Parada planejada,3,26345.0,OPERANDO,6,2816.0,30600.0,2.0,Maquina Beta,65.0,segunda-feira,68.18,103.66,100.0,70.68
2025-01-13,2,Parada planejada,2,12305.0,OPERANDO,13,10379.0,30600.0,2.0,Maquina Beta,65.0,segunda-feira,62.92,103.48,100.0,65.11
2025-01-13,3,OPERANDO,22,11023.0,PREPARAÇÃO,4,3697.0,25200.0,2.0,Maquina Beta,65.0,segunda-feira,46.88,111.19,100.0,52.13
2025-01-13,1,OPERANDO,21,17583.0,Parada planejada,9,8986.0,33480.0,2.0,Maquina Gamma,67.0,segunda-feira,77.73,91.46,100.0,71.09
2025-01-13,2,OPERANDO,19,16149.0,Parada planejada,17,6534.0,32760.0,2.0,Maquina Gamma,67.0,segunda-feira,66.11,102.82,100.31,68.19
2025-01-13,3,Parada planejada,6,20001.0,PARADA NÃO JUSTIFICADA,1,159.0,20160.0,2.0,Maquina Gamma,67.0,segunda-feira,0.0,,,
2025-01-13,1,OPERANDO,24,21617.0,ProblemasManutencao,7,1963.0,33480.0,2.0,Maquina Delta,65.0,segunda-feira,68.58,96.66,100.0,66.29
2025-01-13,2,OPERANDO,23,23920.0,REFEIÇÃO,1,2779.0,32760.0,2.0,Maquina Delta,65.0,segunda-feira,77.26,89.82,100.0,69.39
2025-01-13,3,OPERANDO,15,13172.0,REFEIÇÃO,1,1649.0,20160.0,2.0,Maquina Delta,65.0,segunda-feira,71.16,91.32,100.0,64.98
2025-01-13,1,OPERANDO,18,17457.0,MANUTENÇÃO CORRETIVA AGENDADA,1,6831.0,33480.0,2.0,Maquina Epsilon,63.0,segunda-feira,66.84,112.44,100.0,75.15
2025-01-13,2,Parada planejada,1,31818.0,Oportunidadesdemelhoria,1,942.0,32760.0,2.0,Maquina Epsilon,63.0,segunda-feira,0.0,,,
2025-01-13,3,OPERANDO,11,6902.0,PREPARAÇÃO,6,3935.0,20160.0,2.0,Maquina Epsilon,63.0,segunda-feira,37.41,79.4,100.0,29.7
2025-01-13,1,OPERANDO,18,9882.0,ProblemasProcesso,2,2924.0,30600.0,2.0,Maquina Zeta,68.0,segunda-feira,38.52,105.04,100.0,40.46
2025-01-13,2,MANUTENÇÃO CORRETIVA AGENDADA,1,15497.0,OPERANDO,18,9847.0,30600.0,2.0,Maquina Zeta,68.0,segunda-feira,65.2,88.82,100.0,57.91
2025-01-13,3,MANUTENÇÃO CORRETIVA AGENDADA,1,25200.0,,,,25200.0,2.0,Maquina Zeta,68.0,segunda-feira,,,,
2025-01-13,1,OPERANDO,27,14439.0,Parada planejada,7,4142.0,33480.0,2.0,Maquina Eta,68.0,segunda-feira,53.15,100.68,100.0,53.51
2025-01-13,2,OPERANDO,23,16537.0,Parada planejada,8,5848.0,32760.0,2.0,Maquina Eta,68.0,segunda-feira,65.85,92.68,100.0,61.03
2025-01-13,3,OPERANDO,10,8450.0,Parada planejada,4,3948.0,20160.0,2.0,Maquina Eta,68.0,segunda-feira,57.63,103.54,100.0,59.67
2025-01-13,1,OPERANDO,20,13444.0,Parada planejada,2,5039.0,33480.0,2.0,Maquina Theta,69.0,segunda-feira,56.93,103.18,100.0,58.74
2025-01-13,2,OPERANDO,20,24460.0,ProblemasProcesso,15,2688.0,32760.0,2.0,Maquina Theta,69.0,segunda-feira,82.88,111.48,100.0,92.39
2025-01-13,3,OPERANDO,9,12011.0,ProblemasProcesso,8,1636.0,20160.0,2.0,Maquina Theta,69.0,segunda-feira,67.57,112.62,100.0,76.1
2025-01-13,1,OPERANDO,16,11568.0,Parada planejada,1,7625.0,33480.0,2.0,Maquina Iota,68.0,segunda-feira,49.8,100.92,113.71,57.15
2025-01-13,2,ProblemasManutencao,1,11937.0,OPERANDO,15,10089.0,32760.0,2.0,Maquina Iota,68.0,segunda-feira,34.28,95.2,100.0,32.63
2025-01-13,3,Parada planejada,3,10448.0,OPERANDO,5,8318.0,20160.0,2.0,Maquina Iota,68.0,segunda-feira,85.65,99.23,100.0,84.99
2025-01-13,1,Parada planejada,1,13941.0,OPERANDO,16,11521.0,33480.0,2.0,Maquina Kappa,65.0,segunda-feira,58.96,143.37,100.0,84.53
2025-01-13,2,OPERANDO,23,21057.0,ProblemasProcesso,15,2964.0,32760.0,2.0,Maquina Kappa,65.0,segunda-feira,69.33,97.47,100.0,67.58
2025-01-13,3,Parada planejada,1,20160.0,APONTANDO,0,0.0,20160.0,2.0,Maquina Kappa,65.0,segunda-feira,,,,
2025-01-13,1,OPERANDO,14,15968.0,Parada planejada,11,13218.0,33480.0,2.0,Maquina Lambda,55.0,segunda-feira,79.04,102.15,100.0,80.74
2025-01-13,2,Parada planejada,1,32760.0,OPERANDO,0,0.0,32760.0,2.0,Maquina Lambda,55.0,segunda-feira,,,,
2025-01-13,3,Parada planejada,1,20160.0,,,,20160.0,2.0,Maquina Lambda,55.0,segunda-feira,,,,
2025-01-13,1,Parada planejada,2,16127.0,OPERANDO,9,12051.0,33480.0,2.0,Maquina Sigma,60.0,segunda-feira,83.21,96.64,100.0,80.41
2025-01-13,2,OPERANDO,10,16176.0,INSPECIONAR/MEDIR AMOSTRA,1,2913.0,32760.0,2.0,Maquina Sigma,60.0,segunda-feira,56.94,86.96,100.0,49.52
2025-01-13,3,Parada planejada,1,20160.0,ProblemasProcesso,0,0.0,20160.0,2.0,Maquina Sigma,60.0,segunda-feira,,,,
2025-01-13,1,MANUTENÇÃO CORRETIVA,4,16092.0,OPERANDO,14,10274.0,33480.0,2.0,Maquina Omega,65.0,segunda-feira,33.03,103.32,100.0,34.13
2025-01-13,2,OPERANDO,20,13310.0,ProblemasProcesso,5,3194.0,32760.0,2.0,Maquina Omega,65.0,segunda-feira,45.19,96.56,100.0,43.64
2025-01-13,3,Parada planejada,1,20160.0,AGUARDANDO MANUTENÇÃO,0,0.0,20160.0,2.0,Maquina Omega,65.0,segunda-feira,,,,
2025-01-14,1,OPERANDO,17,17909.0,ProblemasManutencao,2,6012.0,33480.0,3.0,Maquina Alpha,65.0,terca-feira,56.53,85.09,100.0,48.1
2025-01-14,2,OPERANDO,13,8387.0,ProblemasManutencao,6,5522.0,32760.0,3.0,Maquina Alpha,65.0,terca-feira,27.11,83.67,100.0,22.68
2025-01-14,3,TURNO NÃO PLANEJADO,3,13926.0,OPERANDO,6,2729.0,20160.0,3.0,Maquina Alpha,65.0,terca-feira,44.71,68.06,236.36,71.92
2025-01-14,1,OPERANDO,25,13426.0,ProblemasManutencao,3,2772.0,30600.0,3.0,Maquina Beta,65.0,terca-feira,47.78,101.64,100.0,48.56
2025-01-14,2,Parada planejada,1,19631.0,OPERANDO,8,4727.0,30600.0,3.0,Maquina Beta,65.0,terca-feira,44.31,84.35,100.0,37.38
2025-01-14,3,OPERANDO,29,13684.0,ProblemasManutencao,6,2547.0,25200.0,3.0,Maquina Beta,65.0,terca-feira,58.92,98.21,100.0,57.87
2025-01-14,1,MANUTENÇÃO CORRETIVA,1,32248.0,AGUARDANDO MANUTENÇÃO,1,966.0,33480.0,3.0,Maquina Gamma,67.0,terca-feira,0.0,,,
2025-01-14,2,MANUTENÇÃO CORRETIVA,1,9997.0,OPERANDO,6,7776.0,32760.0,3.0,Maquina Gamma,67.0,terca-feira,25.12,112.42,100.59,28.41
2025-01-14,3,OPERANDO,13,9893.0,TURNO NÃO PLANEJADO,5,4016.0,20160.0,3.0,Maquina Gamma,67.0,terca-feira,61.39,102.01,100.0,62.62
2025-01-14,1,OPERANDO,15,18681.0,ProblemasManutencao,2,5447.0,33480.0,3.0,Maquina Delta,65.0,terca-feira,58.97,112.4,100.0,66.28
2025-01-14,2,OPERANDO,14,14251.0,AUXILIO A OUTRA MAQUINA,1,8248.0,32760.0,3.0,Maquina Delta,65.0,terca-feira,46.03,110.2,100.0,50.73
2025-01-14,3,OPERANDO,14,13010.0,ProblemasManutencao,6,1910.0,20160.0,3.0,Maquina Delta,65.0,terca-feira,69.97,112.33,100.0,78.6
2025-01-14,1,OPERANDO,23,16546.0,ProblemasManutencao,2,5900.0,33480.0,3.0,Maquina Epsilon,63.0,terca-feira,52.23,91.81,100.0,47.95
2025-01-14,2,OPERANDO,13,7083.0,PREPARAÇÃO,5,4538.0,32760.0,3.0,Maquina Epsilon,63.0,terca-feira,22.88,43.34,100.0,9.92
2025-01-14,3,OPERANDO,20,8684.0,REFEIÇÃO,1,1456.0,20160.0,3.0,Maquina Epsilon,63.0,terca-feira,46.43,39.86,100.0,18.51
2025-01-14,1,OPERANDO,26,16993.0,ProblemasManutencao,2,3400.0,30600.0,3.0,Maquina Zeta,68.0,terca-feira,65.05,96.36,100.0,62.68
2025-01-14,2,OPERANDO,22,16865.0,ProblemasManutencao,9,8339.0,30600.0,3.0,Maquina Zeta,68.0,terca-feira,58.56,107.56,100.0,62.99
2025-01-14,3,OPERANDO,13,8420.0,PREPARAÇÃO,5,2770.0,25200.0,3.0,Maquina Zeta,68.0,terca-feira,35.76,94.18,100.0,33.68
2025-01-14,1,OPERANDO,13,17824.0,ProblemasManutencao,1,5131.0,33480.0,3.0,Maquina Eta,68.0,terca-feira,56.26,111.91,100.0,62.96
2025-01-14,2,MANUTENÇÃO CORRETIVA,1,19779.0,OPERANDO,13,6012.0,32760.0,3.0,Maquina Eta,68.0,terca-feira,18.35,96.16,100.0,17.65
2025-01-14,3,OPERANDO,11,10355.0,PREPARAÇÃO,3,2707.0,20160.0,3.0,Maquina Eta,68.0,terca-feira,56.21,112.01,100.0,62.96
2025-01-14,1,OPERANDO,14,19988.0,ProblemasManutencao,3,6012.0,33480.0,3.0,Maquina Theta,69.0,terca-feira,63.09,113.29,100.0,71.47
2025-01-14,2,OPERANDO,16,10833.0,ProblemasManutencao,10,6807.0,32760.0,3.0,Maquina Theta,69.0,terca-feira,34.99,112.18,100.0,39.25
2025-01-14,3,OPERANDO,12,9492.0,ProblemasProcesso,4,2330.0,20160.0,3.0,Maquina Theta,69.0,terca-feira,51.25,106.25,100.0,54.45
2025-01-14,1,OPERANDO,16,17429.0,ProblemasManutencao,2,6211.0,33480.0,3.0,Maquina Iota,68.0,terca-feira,55.02,97.86,100.0,53.84
2025-01-14,2,OPERANDO,25,13501.0,ProblemasManutencao,16,9026.0,32760.0,3.0,Maquina Iota,68.0,terca-feira,43.8,93.7,100.0,41.04
2025-01-14,3,TURNO NÃO PLANEJADO,3,15580.0,OPERANDO,4,2885.0,20160.0,3.0,Maquina Iota,68.0,terca-feira,62.99,103.78,100.0,65.37
2025-01-14,1,OPERANDO,16,20905.0,ProblemasManutencao,2,5389.0,33480.0,3.0,Maquina Kappa,65.0,terca-feira,65.99,108.2,100.0,71.4
2025-01-14,2,OPERANDO,39,17231.0,ProblemasManutencao,18,9139.0,32760.0,3.0,Maquina Kappa,65.0,terca-feira,55.85,98.09,100.0,54.78
2025-01-14,3,TURNO NÃO PLANEJADO,1,20160.0,APONTANDO,0,0.0,20160.0,3.0,Maquina Kappa,65.0,terca-feira,,,,
2025-01-14,1,OPERANDO,12,15781.0,ProblemasManutencao,2,5448.0,33480.0,3.0,Maquina Lambda,55.0,terca-feira,49.85,107.66,100.0,53.67
2025-01-14,2,OPERANDO,17,13453.0,ProblemasManutencao,10,7328.0,32760.0,3.0,Maquina Lambda,55.0,terca-feira,43.45,85.63,100.0,37.21
2025-01-14,3,TURNO NÃO PLANEJADO,1,20160.0,Oportunidadesdemelhoria,0,0.0,20160.0,3.0,Maquina Lambda,55.0,terca-feira,,,,
2025-01-14,1,OPERANDO,10,8725.0,ProblemasManutencao,2,5090.0,33480.0,3.0,Maquina Sigma,60.0,terca-feira,27.54,92.53,100.0,25.48
2025-01-14,2,OPERANDO,18,12397.0,ProblemasManutencao,9,9228.0,32760.0,3.0,Maquina Sigma,60.0,terca-feira,40.04,68.34,100.0,27.36
2025-01-14,3,TURNO NÃO PLANEJADO,1,20160.0,APONTANDO,0,0.0,20160.0,3.0,Maquina Sigma,60.0,terca-feira,,,,
